ID,weight,3rd,3thru6,3thru9,3thru12,6thru9,9thru12,6thru12,Laterals
F2_609,0.32,11,47,91,122,44,31,75,4
F2_610,0.21,6,25,54,83,29,29,58,2
F2_611,0.32,11,41,74,104,33,30,63,0
F2_612,0.24,13,35,70,112,35,42,77,6
F2_613,0.13,7,24,48,75,24,27,51,0
F2_614,0.33,14,39,75,108,36,33,69,0
F2_616,0.34,12,36,75,107,39,32,71,0
F2_617,0.23,9,31,59,82,28,23,51,0
F2_619,0.47,,35,68,111,33,43,76,3
F2_620,0.26,8,29,57,88,28,31,59,2
F2_621,0.23,12,33,65,89,32,24,56,0
F2_622,0.26,14,47,92,125,45,33,78,0
F2_623,0.1,13,37,70,99,33,29,62,3
F2_624,0.19,11,35,74,109,39,35,74,0
F2_625,0.29,11,40,80,111,40,31,71,4
F2_626,0.29,12,39,82,124,43,42,85,2
F2_627,0.25,11,34,64,92,30,28,58,0
F2_628,0.21,9,28,63,94,35,31,66,0
F2_629,0.21,9,29,62,100,33,38,71,0
F2_631,0.27,10,34,64,86,30,22,52,0
F2_633,0.27,10,41,85,116,44,31,75,0
F2_634,0.2,11,38,72,102,34,30,64,0
F2_635,0.24,7,25,53,74,28,21,49,0
F2_636,0.13,16,46,91,132,45,41,86,0
F2_638,0.13,8,30,65,97,35,32,67,0
F2_639,0.34,10,40,75,110,35,35,70,0
F2_640,0.15,8,33,64,87,31,23,54,0
F2_641,0.18,14,45,83,106,38,23,61,0
F2_642,0.3,10,33,70,98,37,28,65,0
F2_643,0.13,12,34,61,89,27,28,55,0
F2_644,0.19,8,29,55,75,26,20,46,0
F2_645,0.27,10,40,76,104,36,28,64,2
F2_647,0.12,10,30,53,74,23,21,44,2
F2_648,0.11,9,29,56,78,27,22,49,0
F2_650,0.32,12,36,74,112,38,38,76,2
F2_651,0.21,13,36,68,89,32,21,53,0
F2_653,0.3,10,35,74,101,39,27,66,0
F2_654,0.36,10,32,62,91,30,29,59,0
F2_656,0.2,8,26,50,69,24,19,43,2
F2_657,0.23,13,40,75,104,35,29,64,0
F2_660,0.3,13,36,67,101,31,34,65,2
F2_661,0.12,11,29,50,71,21,21,42,1
F2_663,0.19,7,24,49,71,25,22,47,4
F2_665,0.36,14,47,82,114,35,32,67,0
F2_666,0.12,13,34,65,87,31,22,53,2
F2_667,0.15,9,29,51,75,22,24,46,0
F2_668,0.14,10,34,71,95,37,24,61,2
F2_669,0.15,11,30,61,94,31,33,64,0
F2_670,0.16,11,35,67,86,32,19,51,0
F2_671,0.4,9,34,69,110,35,41,76,2
F2_672,0.12,10,27,52,77,25,25,50,0
F2_673,0.1,9,28,57,87,29,30,59,1
F2_675,0.2,10,40,79,103,39,24,63,0
F2_676,0.25,9,34,69,102,35,33,68,2
F2_677,0.24,15,40,75,104,35,29,64,0
F2_678,0.14,11,34,66,90,32,24,56,0
F2_679,0.17,10,39,67,94,28,27,55,0
F2_681,0.33,10,33,62,84,29,22,51,1
F2_682,0.14,12,34,69,118,35,49,84,0
F2_683,0.23,10,29,60,87,31,27,58,0
F2_684,0.24,10,36,68,89,32,21,53,0
F2_685,0.19,8,31,54,80,23,26,49,0
F2_686,0.11,9,23,50,70,27,20,47,0
F2_687,0.19,9,28,52,78,24,26,50,1
F2_688,0.22,8,27,58,85,31,27,58,0
F2_689,0.32,13,39,64,90,25,26,51,3
F2_690,0.15,13,39,67,109,28,42,70,3
F2_691,0.24,9,37,53,83,16,30,46,0
F2_693,0.06,7,25,42,57,17,15,32,0
F2_694,0.17,12,38,72,95,34,23,57,0
F2_695,0.26,12,44,84,105,40,21,61,3
F2_696,0.12,9,31,56,80,25,24,49,1
F2_697,0.06,7,20,41,60,21,19,40,0
F2_698,0.06,10,32,63,90,31,27,58,7
F2_699,0.41,8,33,67,101,34,34,68,0
F2_700,0.38,8,23,48,81,25,33,58,0
F2_701,0.55,10,40,78,115,38,37,75,6
F2_702,0.14,9,27,49,82,22,33,55,0
F2_703,0.29,9,25,47,82,22,35,57,1
F2_704,0.29,13,35,65,87,30,22,52,0
F2_705,0.24,6,18,40,70,22,30,52,0
F2_706,0.06,7,22,48,77,26,29,55,0
F2_707,0.4,7,28,66,92,38,26,64,3
F2_708,0.27,11,33,71,120,38,49,87,0
F2_709,0.38,10,31,62,97,31,35,66,7
F2_710,0.25,12,28,63,100,35,37,72,2
F2_711,0.29,9,30,60,96,30,36,66,4
F2_712,0.19,15,30,49,69,19,20,39,2
F2_713,0.31,14,40,76,106,36,30,66,8
F2_714,0.22,13,40,77,107,37,30,67,0
F2_715,0.3,11,36,74,106,38,32,70,2
F2_716,0.14,7,17,45,82,28,37,65,0
F2_717,0.34,11,33,63,100,30,37,67,9
F2_718,0.46,13,40,74,109,34,35,69,0
F2_719,0.37,10,30,57,83,27,26,53,3
F2_720,0.35,10,31,62,93,31,31,62,2
F2_721,0.33,7,24,55,88,31,33,64,0
F2_722,0.28,11,32,62,95,30,33,63,0
F2_723,0.19,6,25,50,75,25,25,50,1
F2_724,0.17,10,27,51,74,24,23,47,0
F2_725,0.34,14,41,77,118,36,41,77,2
F2_726,0.14,7,36,76,115,40,39,79,0
F2_727,0.41,11,41,78,106,37,28,65,6
F2_728,0.33,13,35,70,96,35,26,61,0
F2_730,0.34,11,37,70,105,33,35,68,2
F2_731,0.26,9,30,66,100,36,34,70,1
F2_732,0.44,10,30,60,94,30,34,64,0
F2_733,0.45,10,38,82,125,44,43,87,0
F2_734,0.32,9,30,56,84,26,28,54,0
F2_735,0.12,11,33,71,107,38,36,74,1
F2_736,0.3,11,36,71,107,35,36,71,0
F2_737,,9,56,,,,,,
F2_738,0.23,8,50,,,,,,
F2_739,0.27,9,53,,,,,,
F2_740,0.26,13,38,66,107,28,41,69,0
F2_741,0.26,10,30,71,112,41,41,82,0
F2_742,0.17,6,19,39,69,20,30,50,0
F2_744,0.39,10,29,60,96,31,36,67,6
